  1011 4830.7663
  1012 5439.1338
  1013 5640.1275
  1014 5809.6938
  1015 5697.3917
  1016 5754.2213
  1017 5595.235
  1018 5572.1988
  1019 5699.5838
  1020 5984.0863
  1021 6013.2288
  1022 5984.9563
  1023 5895.2988
  1024 5518.85
  1025 5733.9038
  1026 5888.145
  1027 5767.68
  1028 5732.825
  1029 6140.5313
  1030 6121.8
  1031 6447.6675
  1101 6750.1725
  1102 7030.0025
  1103 7161.4513
  1104 7386.9988
  1105 7382.4488
  1106 6958.2113
  1107 7118.8013
  1108 7458.795
  1109 7146.7813
  1110 6570.3125
